1;83.625;22.019
2;323.375;-0.8184722222
3;205.55;28.3850555556
4;245.9;-26.5348888889
5;229.65;2.0848888889
6;265.025;-32.2181388889
7;268.475;-34.8178055556
8;270.95;-24.385
9;259.8;-18.5188055556
10;254.275;-4.1018333333
11;282.775;-6.2684166667
12;251.8;-1.9518611111
13;250.425;36.4682777778
14;264.4;-3.2521111111
15;322.5;12.1683888889
16;274.7;-13.7851111111
17;275.2;-16.1852777778
18;274.975;-17.1354166667
19;255.65;-26.2685555556
20;270.575;-23.0358333333
21;271.15;-22.5018055556
22;279.1;-23.9014166667
23;269.2;-19.0185833333
24;274.6;-18.4179444444
25;277.925;-19.2351388889
26;281.3;-9.4022222222
27;299.9;22.7187222222
28;276.125;-24.8685555556
29;305.975;38.5353055556
30;325.1;-23.1853333333
31;10.675;41.2676111111
32;10.675;40.8689166667
33;23.475;30.6515833333
34;40.5;42.7848611111
35;92.225;24.3348055556
36;84.025;34.1350833333
37;88.1;32.5517222222
38;82.175;35.8353888889
39;323.05;48.4347777778
40;185.55;58.08333
41;101.75;-20.7346111111
42;83.85;-5.4511111111
43;83.9;-5.2691666667
44;130.025;19.9843611111
45;56.75;24.1204444444
46;115.45;-14.8183333333
47;114.15;-14.5014444444
48;123.45;-5.8015277778
49;187.45;8.0023333333
50;105.8;-8.3350833333
51;202.475;47.2023333333
52;351.05;61.5853611111
53;198.225;18.1687777778
54;283.775;-30.4854444444
55;295;-30.9684166667
56;289.15;30.1856388889
57;283.4;33.0357777778
#58;189.425;11.8193611111
#59;190.5;11.6526666667
#60;190.925;11.5524444444
#61;185.475;4.4693611111
#62;255.3;-30.1184722222
63;198.95;42.0357222222
64;194.175;21.6856944444
#65;169.725;13.0859166667
#66;170.05;12.9858055556
#67;132.6;11.8183611111
#68;189.875;-26.7521666667
#69;277.85;-32.3521111111
#70;280.8;-32.3021944444
71;298.45;18.7856388889
#72;313.375;-12.5359166667
#73;314.75;-12.6358333333
74;24.175;15.7859444444
#75;301.525;-21.9190277778
#76;25.575;51.5694722222
77;40.675;0.0191388889
#78;86.675;0.0523055556
#79;81.125;-24.5521388889
#80;244.25;-22.9853611111
81;148.9;69.0685833333
82;148.95;69.6856666667
#83;204.25;-29.8687777778
#84;186.275;12.8858611111
#85;186.35;18.1858611111
#86;186.55;12.9524722222
87;187.7;12.4023888889
#88;188;14.4193333333
#89;188.925;12.5527222222
#90;189.2;13.1693055556
#91;188.85;14.5028333333
#92;259.275;43.1351111111
#93;116.15;-23.8683333333
#94;192.725;41.1189444444
95;161;11.7026944444
96;161.7;11.8192222222
97;168.7;55.0194166667
#98;183.45;14.9028055556
#99;184.7;14.4194166667
#100;185.725;15.81925
101;210.8;54.3521944444
102;226.625;55.7694166667
103;23.3;60.7020555556
104;190;-11.6188888889
105;161.95;12.5859166667
106;184.75;47.3023333333
107;248.125;-13.0521944444
108;167.875;55.6694444444
109;179.4;53.3860555556
110;10.1;41.6856944444
