M1;83.625;22.019
M2;323.375;-0.8184722222
M3;205.55;28.3850555556
M4;245.9;-26.5348888889
M5;229.65;2.0848888889
M6;265.025;-32.2181388889
M7;268.475;-34.8178055556
M8;270.95;-24.385
M9;259.8;-18.5188055556
M10;254.275;-4.1018333333
M11;282.775;-6.2684166667
M12;251.8;-1.9518611111
M13;250.425;36.4682777778
M14;264.4;-3.2521111111
M15;322.5;12.1683888889
M16;274.7;-13.7851111111
M17;275.2;-16.1852777778
M18;274.975;-17.1354166667
M19;255.65;-26.2685555556
M20;270.575;-23.0358333333
M21;271.15;-22.5018055556
M22;279.1;-23.9014166667
M23;269.2;-19.0185833333
M24;274.6;-18.4179444444
M25;277.925;-19.2351388889
M26;281.3;-9.4022222222
M27;299.9;22.7187222222
M28;276.125;-24.8685555556
M29;305.975;38.5353055556
M30;325.1;-23.1853333333
M31;10.675;41.2676111111
M32;10.675;40.8689166667
M33;23.475;30.6515833333
M34;40.5;42.7848611111
M35;92.225;24.3348055556
M36;84.025;34.1350833333
M37;88.1;32.5517222222
M38;82.175;35.8353888889
M39;323.05;48.4347777778
M40;185.55;58.08333
M41;101.75;-20.7346111111
M42;83.85;-5.4511111111
M43;83.9;-5.2691666667
M44;130.025;19.9843611111
M45;56.75;24.1204444444
M46;115.45;-14.8183333333
M47;114.15;-14.5014444444
M48;123.45;-5.8015277778
M49;187.45;8.0023333333
M50;105.8;-8.3350833333
M51;202.475;47.2023333333
M52;351.05;61.5853611111
M53;198.225;18.1687777778
M54;283.775;-30.4854444444
M55;295;-30.9684166667
M56;289.15;30.1856388889
M57;283.4;33.0357777778
#M58;189.425;11.8193611111
#M59;190.5;11.6526666667
#M60;190.925;11.5524444444
#M61;185.475;4.4693611111
#M62;255.3;-30.1184722222
M63;198.95;42.0357222222
M64;194.175;21.6856944444
#M65;169.725;13.0859166667
#M66;170.05;12.9858055556
#M67;132.6;11.8183611111
#M68;189.875;-26.7521666667
#M69;277.85;-32.3521111111
#M70;280.8;-32.3021944444
M71;298.45;18.7856388889
#M72;313.375;-12.5359166667
#M73;314.75;-12.6358333333
M74;24.175;15.7859444444
#M75;301.525;-21.9190277778
#M76;25.575;51.5694722222
M77;40.675;0.0191388889
#M78;86.675;0.0523055556
#M79;81.125;-24.5521388889
#M80;244.25;-22.9853611111
M81;148.9;69.0685833333
M82;148.95;69.6856666667
#M83;204.25;-29.8687777778
#M84;186.275;12.8858611111
#M85;186.35;18.1858611111
#M86;186.55;12.9524722222
M87;187.7;12.4023888889
#M88;188;14.4193333333
#M89;188.925;12.5527222222
#M90;189.2;13.1693055556
#M91;188.85;14.5028333333
#M92;259.275;43.1351111111
#M93;116.15;-23.8683333333
#M94;192.725;41.1189444444
M95;161;11.7026944444
M96;161.7;11.8192222222
M97;168.7;55.0194166667
#M98;183.45;14.9028055556
#M99;184.7;14.4194166667
#M100;185.725;15.81925
M101;210.8;54.3521944444
M102;226.625;55.7694166667
M103;23.3;60.7020555556
M104;190;-11.6188888889
M105;161.95;12.5859166667
M106;184.75;47.3023333333
M107;248.125;-13.0521944444
M108;167.875;55.6694444444
M109;179.4;53.3860555556
M110;10.1;41.6856944444
SMC;13.158;-72.8
LMC;80.88;-69.755
